Date/Time,CoolingCoils:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Baseboard:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),Cooling:Electricity [J](Hourly)
 01/01  01:00:00,0.0,150984003.43033272,10125243.37624864,4047249.7477069055,211092539.301962,34145878.97783849,358175496.4826701,0.0,0.0
 01/01  02:00:00,0.0,153029663.22927436,10209336.528627448,4084257.3043526993,213384399.258554,34266979.68686309,362316847.5640525,0.0,0.0
 01/01  03:00:00,0.0,155874043.19578773,10336010.8315191,4127654.5647267504,215190329.65894446,34437051.25012879,366929043.6989048,0.0,0.0
 01/01  04:00:00,0.0,158336306.35849738,10442869.210673554,4165436.461566726,216773180.77516085,34581691.52612322,370972244.0673999,0.0,0.0
 01/01  05:00:00,0.0,160213173.26888108,10523484.792385528,4193057.910211515,216861817.8511806,34689928.55647998,373020477.45179445,0.0,0.0
 01/01  06:00:00,0.0,161131014.44789997,10566216.794088088,4204752.78068512,216451764.42127043,34744355.42865615,373453005.3515322,0.0,0.0
 01/01  07:00:00,0.0,163402748.43580917,10661304.942432893,4239989.730990761,218442995.14922678,34874680.527306594,377533352.68735534,0.0,0.0
 01/01  08:00:00,0.0,165727162.7733603,10757428.942422787,4276155.9638375165,220365692.9646696,35006970.76014325,381852661.43016565,0.0,0.0
 01/01  09:00:00,0.0,162979079.9630354,10668169.44464057,4229040.121381333,217671753.60097602,34870595.41990484,376541055.4065223,0.0,0.0
 01/01  10:00:00,0.0,134150379.73111072,9442222.678449154,3772933.314385978,207377543.36492515,33188541.846718065,337626856.3142755,0.0,0.0
 01/01  11:00:00,0.0,112119298.91813509,8312579.263222858,3389870.532169938,192956766.9285921,31675835.649275735,301901958.051325,0.0,0.0
 01/01  12:00:00,0.0,91284231.41374719,6948464.543357943,2915610.4160589813,177460665.6766857,29837460.81329986,264779191.99804798,0.0,0.0
 01/01  13:00:00,0.0,73999743.25865908,5822455.043984232,2470848.228148518,167514790.4524163,28266689.126015685,236444186.48078623,0.0,0.0
 01/01  14:00:00,0.0,60640457.09991643,4994194.924104798,2080227.4457294545,163917315.84971076,27047808.22371719,219508490.203946,0.0,0.0
 01/01  15:00:00,0.0,55599510.157078825,4704624.051712395,1936284.4895583473,169514828.98375258,26614294.39515368,221100836.19471854,0.0,0.0
 01/01  16:00:00,0.0,71572025.54896,5535733.211288142,2356760.7970966175,184280671.78126568,27865879.8622677,258533787.63970256,0.0,0.0
 01/01  17:00:00,0.0,97535148.44610725,7028963.297693271,3020314.5932031698,198003391.58745745,30022663.74477938,294001872.47752434,0.0,0.0
 01/01  18:00:00,0.0,110971923.88575073,8033628.819066541,3349105.350299095,206121568.0106447,31356120.023248576,314517357.3208425,0.0,0.0
 01/01  19:00:00,0.0,119888932.77544513,8607078.740390863,3533865.426821853,209568903.39350924,32114330.021095663,326304430.61943513,0.0,0.0
 01/01  20:00:00,0.0,125673083.34197453,8935174.255448854,3636617.8828723617,211947219.0689613,32545177.992204152,334009875.3471776,0.0,0.0
 01/01  21:00:00,0.0,133058033.31629483,9304767.842129264,3764474.6354749235,217969073.3290219,33042628.331487127,347080110.8237669,0.0,0.0
 01/01  22:00:00,0.0,142240135.85129192,9715537.550217018,3922581.5252842014,226660628.8658069,33611504.92938416,364703655.79056954,0.0,0.0
 01/01  23:00:00,0.0,148573811.12104127,10001918.371052373,4017801.6296491027,220267486.66435835,33993105.85458442,366246108.061484,0.0,0.0
 01/01  24:00:00,0.0,151111143.4487078,10126360.805595517,4049982.604675793,212949760.66485715,34149729.26415425,360154751.2591643,0.0,0.0
 01/02  01:00:00,0.0,150066967.295618,10093402.069478033,4030388.3496886566,211336865.92339858,34097176.27304962,357462744.057332,0.0,0.0
 01/02  02:00:00,0.0,167055545.8361511,10774351.533463366,4322284.0712968325,241427178.8413635,35070021.45864314,401704586.0081214,0.0,0.0
 01/02  03:00:00,0.0,187452141.14240718,11571329.198952172,4654617.727699172,267519210.41174927,36199332.78053428,450191541.36605585,0.0,0.0
 01/02  04:00:00,0.0,201243444.86635947,12108834.266872121,4859489.705419095,274104869.97465223,36941709.826174155,470491241.3035367,0.0,0.0
 01/02  05:00:00,0.0,186740376.18916598,11592616.845520325,4610425.736699803,241916328.8808756,36176428.43610307,426792587.27229,0.0,0.0
 01/02  06:00:00,0.0,195608100.4631809,11928199.896760795,4751198.84445583,253730252.0183645,36652784.59509956,441861261.9332531,0.0,0.0
 01/02  07:00:00,0.0,219346763.31949967,12803559.025276415,5118400.790290559,280391295.89572394,47192035.807083756,494685390.8623626,0.0,0.0
 01/02  08:00:00,0.0,34681071.34982644,2203915.0874244813,773714.5086291465,267931640.60315514,494016256.7987187,214995738.09386152,0.0,0.0
 01/02  09:00:00,0.0,501961979.2638023,33268543.884227127,7590051.948273526,542373997.8618146,534292133.00783986,1110576730.806925,0.0,0.0
 01/02  10:00:00,673.7517057015407,110856644.07379775,11242670.342984442,8659601.320016809,381040726.0030611,535673925.92459834,458230134.6046754,0.0,419265.2765619168
 01/02  11:00:00,8913.842602434073,45100113.507266864,7492793.807716731,23464054.64191269,328632949.8680333,549137545.7363145,344037126.4405705,0.0,1513523.2814038796
 01/02  12:00:00,28708692.64062938,19322603.96114156,7723204.780395337,32575981.647959452,282127209.11013305,565381663.8799994,254401508.07078052,0.0,11232022.122485923
 01/02  13:00:00,49763248.71703852,10733664.588789074,8810484.972220797,44961239.234784804,254140697.84930107,578854201.6586503,237704626.4232217,0.0,23826485.869100504
 01/02  14:00:00,56733161.634380974,6795154.929368889,9536308.813310938,48545458.211017154,242089451.09344682,583164244.4759728,220940966.22907805,0.0,27502112.3519465
 01/02  15:00:00,75119736.40071155,4068155.3814581656,11414610.03975872,55921402.62202827,240683025.75310558,590023580.1407576,215225744.51036322,0.0,34922068.07692836
 01/02  16:00:00,61319083.15429334,2653609.900699513,9866127.80015843,49502094.805824086,254815134.89955494,567955146.949557,232704154.1295466,0.0,28528512.226333063
 01/02  17:00:00,44289950.839197315,2086546.7248835412,7688872.4022865435,42274500.70880062,266386632.73495343,565452077.6196213,251621860.65891558,0.0,21314731.543766208
 01/02  18:00:00,12691702.775003772,2830364.7633362813,5398178.983520988,29279252.865111765,294723487.36585206,525716059.0512977,307677732.9299006,0.0,8261061.443720406
 01/02  19:00:00,200349.15259082688,4276345.027704923,4617864.860682127,22713063.83808987,300421849.46079373,520764465.8741113,317147027.08244425,0.0,1664784.3064122677
 01/02  20:00:00,0.0,1647908.3280840898,123031.84286238533,127145.57596590347,114379605.92648305,356292972.38388634,97689247.75916886,0.0,0.0
 01/02  21:00:00,0.0,1752753.9716588333,127606.8476714766,178860.32653165353,170284933.79522097,36761273.0837425,149907238.81387255,0.0,0.0
 01/02  22:00:00,0.0,2893262.106822171,244765.36419918906,213230.92909662967,178555145.47352588,30011022.03787554,184243075.1870263,0.0,0.0
 01/02  23:00:00,0.0,4465843.975080099,373821.48952807905,268708.7074201781,195578761.67446956,27800645.968853768,223945510.64220336,0.0,0.0
 01/02  24:00:00,0.0,8661217.225540403,738655.2713119743,419956.2087530807,207574709.25028402,23526907.306622185,277436415.9553833,0.0,0.0
 01/03  01:00:00,0.0,10936056.02927497,912702.6195887732,498805.2699478388,209197078.50987265,21384893.74341955,255574725.48273656,0.0,0.0
 01/03  02:00:00,0.0,13349562.268563654,1100453.295609699,579715.054210059,207744521.3305022,21653554.203702696,242551942.74146044,0.0,0.0
 01/03  03:00:00,0.0,15456451.130143264,1231171.3312121746,628284.3916011411,203534025.43818823,21832841.576696254,229853434.78591532,0.0,0.0
 01/03  04:00:00,0.0,18545784.140720047,1502554.5374055498,720575.6593207658,203037357.40015048,22196516.050609253,235592229.2462021,0.0,0.0
 01/03  05:00:00,0.0,24546814.595334034,2023698.9650974597,922950.71104903,205098497.88929266,22920035.530029427,245992318.77485412,0.0,0.0
 01/03  06:00:00,0.0,31136686.150218625,2478043.942448841,1084641.4557231907,208376043.29593524,23536071.252054967,246716629.38071665,0.0,0.0
 01/03  07:00:00,0.0,37531548.82990655,2843629.3201424377,1217815.4024849162,213006698.78072768,33331520.714144148,253830541.08016074,0.0,0.0
 01/03  08:00:00,0.0,7041057.203757603,614884.7875859571,336132.7225969698,204532688.29682642,491989644.71284807,121979628.93241428,0.0,0.0
 01/03  09:00:00,1698.843244308507,156637443.81074142,13617356.267641714,21350391.137973834,431279916.5704551,528401284.58095473,660993653.9292611,0.0,1251129.2200440036
