Date/Time,Baseboard:PlantLoopHeatingDemand [J](Hourly),HeatingCoils:PlantLoopHeatingDemand [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Baseboard:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),Cooling:Electricity [J](Hourly)
 01/01  01:00:00,209615601.87922025,136163664.15376338,0.0,136163664.15376338,9511175.333340233,3709013.3194747455,209615601.87922025,33193574.5066979,342200062.1506784,0.0,0.0
 01/01  02:00:00,211913923.80857185,138318627.79661965,0.0,138318627.79661965,9603057.899067674,3748156.3195267124,211913923.80857185,33324600.07247732,346448083.6466433,0.0,0.0
 01/01  03:00:00,213703928.0159135,140956602.43236607,0.0,140956602.43236607,9725243.360353827,3788990.044298068,213703928.0159135,33487619.258534826,350838706.0254944,0.0,0.0
 01/01  04:00:00,215274042.64563888,143278160.6035735,0.0,143278160.6035735,9830253.417586429,3825205.7216771236,215274042.64563888,33628844.99314648,354728022.3791812,0.0,0.0
 01/01  05:00:00,215328368.58687195,145199966.06397682,0.0,145199966.06397682,9915334.912632395,3853872.7438390544,215328368.58687195,33742593.51035438,356827098.06519717,0.0,0.0
 01/01  06:00:00,214997854.2014888,146128562.6207044,0.0,146128562.6207044,9959555.612782793,3865952.6451842356,214997854.2014888,33798894.11184996,357273539.459854,0.0,0.0
 01/01  07:00:00,216936356.62851694,148248514.1699678,0.0,148248514.1699678,10051543.919667698,3899180.4855486015,216936356.62851694,33924110.25909923,361189247.48561436,0.0,0.0
 01/01  08:00:00,218885130.54060233,150439927.25314447,0.0,150439927.25314447,10145362.690687962,3933705.635298088,218885130.54060233,34052454.17986898,365390243.33177036,0.0,0.0
 01/01  09:00:00,216160728.3032626,147894117.83144927,0.0,147894117.83144927,10042811.076036114,3889925.5161299985,216160728.3032626,33906122.446049035,360238011.2123659,0.0,0.0
 01/01  10:00:00,205992831.83299524,119644251.37968104,0.0,119644251.37968104,8779633.671616443,3433770.935574881,205992831.83299524,32186790.461074248,321723494.46475625,0.0,0.0
 01/01  11:00:00,191649003.11606556,98490438.87498316,0.0,98490438.87498316,7629653.765402924,3044934.1312508737,191649003.11606556,30647973.75053674,286791626.65371543,0.0,0.0
 01/01  12:00:00,176157049.80097502,79732976.8805721,0.0,79732976.8805721,6333694.910411987,2590545.868625921,176157049.80097502,28897626.632920835,252025885.29060304,0.0,0.0
 01/01  13:00:00,166210371.2542259,64229728.04901798,0.0,64229728.04901798,5319858.333621108,2169757.777079685,166210371.2542259,27463001.96458373,225032360.2383521,0.0,0.0
 01/01  14:00:00,162953547.62171778,52267140.40738102,0.0,52267140.40738102,4596237.748529935,1821755.5695419838,162953547.62171778,26391379.171954855,209639157.08039778,0.0,0.0
 01/01  15:00:00,168547962.1328558,47086936.7447728,0.0,47086936.7447728,4248288.043122054,1653115.1367860509,168547962.1328558,25874789.03379103,210991185.9377452,0.0,0.0
 01/01  16:00:00,182626136.85398495,61165394.6376895,0.0,61165394.6376895,5047305.533265377,2051481.3813639623,182626136.85398495,27072172.768512264,247672582.1359204,0.0,0.0
 01/01  17:00:00,196454883.73208767,84929237.54916778,0.0,84929237.54916778,6423870.995739001,2682847.4370358223,196454883.73208767,29080104.286657754,281058722.20520055,0.0,0.0
 01/01  18:00:00,204569586.13587156,95591292.16202196,0.0,95591292.16202196,7172595.919091582,2940825.334050128,204569586.13587156,30086807.107024647,298235430.5400269,0.0,0.0
 01/01  19:00:00,207931336.0462942,104098572.58523634,0.0,104098572.58523634,7855017.539001288,3151038.821441477,207931336.0462942,30979442.21432569,309702364.5705654,0.0,0.0
 01/01  20:00:00,210415832.56997,110024060.65761551,0.0,110024060.65761551,8231023.64251161,3269897.6143409605,210415832.56997,31474307.110735495,317283159.3281571,0.0,0.0
 01/01  21:00:00,216436691.9037854,117122532.5505544,0.0,117122532.5505544,8601615.121952835,3399943.3450145638,216436691.9037854,31974944.320850324,329996445.7350629,0.0,0.0
 01/01  22:00:00,224958319.78456366,125786506.84667134,0.0,125786506.84667134,9014422.089327697,3554205.3608387937,224958319.78456366,32542013.304049417,346988002.74570274,0.0,0.0
 01/01  23:00:00,218663401.95504874,132743955.60349104,0.0,132743955.60349104,9340542.972763896,3662454.0956452386,218663401.95504874,32976382.922292065,349324931.87136513,0.0,0.0
 01/01  24:00:00,211519884.6072136,135952685.68116578,0.0,135952685.68116578,9498663.180849057,3706641.0799183403,211519884.6072136,33178690.11465033,343885478.82945406,0.0,0.0
 01/02  01:00:00,209846790.77694663,135094751.63575175,0.0,135094751.63575175,9472158.782198165,3689628.2296301234,209846790.77694663,33135172.86571122,341276841.06520665,0.0,0.0
 01/02  02:00:00,239831714.97888762,149891706.79572293,0.0,149891706.79572293,10091154.008701421,3951652.2754115597,239831714.97888762,34016192.137995906,383200005.3202005,0.0,0.0
 01/02  03:00:00,265649985.83040863,168485766.4423406,0.0,168485766.4423406,10847708.653823426,4261431.104904258,265649985.83040863,35082525.61261062,429769157.9256464,0.0,0.0
 01/02  04:00:00,272338608.92838526,181960143.73741055,0.0,181960143.73741055,11378021.322854651,4465257.298319131,272338608.92838526,35816664.47505671,449872061.5161585,0.0,0.0
 01/02  05:00:00,240242743.55299783,169844854.4669091,0.0,169844854.4669091,10919494.83830686,4249395.206036399,240242743.55299783,35142275.898226194,408651287.2889028,0.0,0.0
