Date/Time,CoolingCoils:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Baseboard:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),Cooling:Electricity [J](Hourly)
 01/01  01:00:00,0.0,159989673.19897047,10495068.505967077,4238315.565931068,209577498.96788785,34706769.925781086,365480391.802112,0.0,0.0
 01/01  02:00:00,0.0,161946034.66105643,10589596.300104246,4272544.064096049,211849008.67489958,34835526.218083225,369509147.1175628,0.0,0.0
 01/01  03:00:00,0.0,164898737.00831378,10726148.347800916,4316644.646277258,213613069.46457955,35016178.84796111,374201826.29424345,0.0,0.0
 01/01  04:00:00,0.0,167439468.60013068,10833823.64410552,4355298.011026817,215190376.35927466,35162507.50901528,378329552.76746255,0.0,0.0
 01/01  05:00:00,0.0,169288602.4965257,10911703.765511638,4382212.641253423,215237708.48000377,35267302.260648,380314853.22856504,0.0,0.0
 01/01  06:00:00,0.0,170200181.164555,10953314.554654168,4393759.120116236,214909230.27754092,35320459.52865334,380797885.16034305,0.0,0.0
 01/01  07:00:00,0.0,172562981.23139742,11050053.833923995,4430149.64250679,216896297.41465777,35453589.33031371,384923733.37327886,0.0,0.0
 01/01  08:00:00,0.0,174972864.09543893,11147647.521024128,4467297.219955492,218730261.51622713,35588330.59486255,389316900.5767255,0.0,0.0
 01/01  09:00:00,0.0,172135377.87419394,11039884.590363532,4419965.66877222,216012342.40488136,35433236.11301869,383945012.1389938,0.0,0.0
 01/01  10:00:00,0.0,143006840.61476022,9819855.48962679,3964114.4588099523,205838195.88181284,33757355.80231968,344904085.5024247,0.0,0.0
 01/01  11:00:00,0.0,120503398.53881858,8726781.828947086,3580061.4096010444,191530426.20754287,32280229.09243107,308814806.04766244,0.0,0.0
 01/01  12:00:00,0.0,98576203.82862648,7363545.467252987,3096951.1033500694,176035855.67485824,30433882.424485985,270584268.2205663,0.0,0.0
 01/01  13:00:00,0.0,80387753.6700322,6174152.557077252,2638484.5085869753,166098226.08078238,28786022.91954717,241527334.19653744,0.0,0.0
 01/01  14:00:00,0.0,66176435.41755161,5267624.573727406,2224331.9430661304,162528883.45674253,27465342.37067647,223487027.63003063,0.0,0.0
 01/01  15:00:00,0.0,61251948.640727594,4997140.778619141,2088323.7896490241,168080465.11387384,27058850.422151104,225201480.35832658,0.0,0.0
 01/01  16:00:00,0.0,78495565.83180648,5894167.566176053,2541194.997675311,182944310.76956022,28408748.417734303,263809580.67978474,0.0,0.0
 01/01  17:00:00,0.0,106129857.9607074,7497810.44410647,3233653.336229412,196539822.88205943,30704849.634218827,301029671.5739238,0.0,0.0
 01/01  18:00:00,0.0,120419706.92447174,8524226.881869337,3566433.3759502852,204616162.45783585,32064046.11170256,321972635.4903953,0.0,0.0
 01/01  19:00:00,0.0,129362051.8724208,9074376.193497315,3739295.402373158,207965682.0884234,32787057.449753404,333918250.14808875,0.0,0.0
 01/01  20:00:00,0.0,135144419.79703757,9370671.378459767,3839720.9581740364,210409651.65533507,33183778.190516744,341745866.70930904,0.0,0.0
 01/01  21:00:00,0.0,142749357.99091876,9722204.381500198,3969902.183703118,216366539.28161743,33665492.41908625,354932451.81538904,0.0,0.0
 01/01  22:00:00,0.0,152256868.00887164,10135773.824729973,4131172.130123011,224908373.70147336,34240331.80873592,372771466.2955406,0.0,0.0
 01/01  23:00:00,0.0,158195346.18119952,10399944.89710113,4219052.402959837,218615254.64181003,34592383.15394391,374008294.19131917,0.0,0.0
 01/01  24:00:00,0.0,160324225.64872232,10504977.901092218,4244319.694646591,211356379.08615476,34722683.449621744,367621269.9241184,0.0,0.0
 01/02  01:00:00,0.0,159177940.73561385,10471811.974974511,4222776.726911227,209753733.06326097,34667974.55576867,364828137.61058694,0.0,0.0
 01/02  02:00:00,0.0,177447682.25116518,11208263.231097875,4530705.94757879,239652677.529305,35712355.032559596,409980662.4985,0.0,0.0
